Country Code,Latest year as of Jan 2018,Source
ABW,104822,WBDI
AFG,34656032,WBDI
AGO,28813463,WBDI
ALB,2876101,WBDI
AND,77281,WBDI
ARB,406452690,WBDI
ARE,9269612,WBDI
ARG,43847430,WBDI
ARM,2924816,WBDI
ASM,55599,WBDI
ATG,100963,WBDI
AUS,24127159,WBDI
AUT,8747358,WBDI
AZE,9762274,WBDI
BDI,10524117,WBDI
BEL,11348159,WBDI
BEN,10872298,WBDI
BES,25019,Wikipedia
BFA,18646433,WBDI
BGD,162951560,WBDI
BGR,7127822,WBDI
BHR,1425171,WBDI
BHS,391232,WBDI
BIH,3516816,WBDI
BLR,9507120,WBDI
BLZ,366954,WBDI
BMU,65331,WBDI
BOL,10887882,WBDI
BRA,207652865,WBDI
BRB,284996,WBDI
BRN,423196,WBDI
BTN,797765,WBDI
BWA,2250260,WBDI
CAF,4594621,WBDI
CAN,36286425,WBDI
CEB,102974082,WBDI
CHE,8372098,WBDI
CHI,164541,WBDI
CHL,17909754,WBDI
CHN,1378665000,WBDI
CIV,23695919,WBDI
CMR,23439189,WBDI
COD,78736153,WBDI
COG,5125821,WBDI
COL,48653419,WBDI
COM,795601,WBDI
CPV,539560,WBDI
CRI,4857274,WBDI
CSS,7245472,WBDI
CUB,11475982,WBDI
CUW,159999,WBDI
CYM,60765,WBDI
CYP,1170125,WBDI
CZE,10561633,WBDI
DEU,82667685,WBDI
DJI,942333,WBDI
DMA,73543,WBDI
DNK,5731118,WBDI
DOM,10648791,WBDI
DZA,40606052,WBDI
EAP,2051431154,WBDI
EAR,3170542188,WBDI
EAS,2296786207,WBDI
ECA,417424643,WBDI
ECS,911995305,WBDI
ECU,16385068,WBDI
EGY,95688681,WBDI
EMU,340894606,WBDI
ERI,4474690,WBDI
ESP,46443959,WBDI
EST,1316481,WBDI
ETH,102403196,WBDI
EUU,511497415,WBDI
FCS,505635987,WBDI
FIN,5495096,WBDI
FJI,898760,WBDI
FRA,66896109,WBDI
FRO,49117,WBDI
FSM,104937,WBDI
GAB,1979786,WBDI
GBR,65637239,WBDI
GEO,3719300,WBDI
GGY,63026,Wikipedia
GHA,28206728,WBDI
GIB,34408,WBDI
GIN,12395924,WBDI
GMB,2038501,WBDI
GNB,1815698,WBDI
GNQ,1221490,WBDI
GRC,10746740,WBDI
GRD,107317,WBDI
GRL,56186,WBDI
GTM,16582469,WBDI
GUF,281612,Wikipedia
GUM,162896,WBDI
GUY,773303,WBDI
HIC,1190029421,WBDI
HKG,7346700,WBDI
HND,9112867,WBDI
HPC,744602976,WBDI
HRV,4170600,WBDI
HTI,10847334,WBDI
HUN,9817958,WBDI
IBD,4697247117,WBDI
IBT,6271593092,WBDI
IDA,1574345975,WBDI
IDB,521159393,WBDI
IDN,261115456,WBDI
IDX,1053186582,WBDI
IMN,83737,WBDI
IND,1324171354,WBDI
IRL,4773095,WBDI
IRN,80277428,WBDI
IRQ,37202572,WBDI
ISL,334252,WBDI
ISR,8547100,WBDI
ITA,60600590,WBDI
JAM,2881355,WBDI
JOR,9455802,WBDI
JPN,126994511,WBDI
KAZ,17797032,WBDI
KEN,48461567,WBDI
KGZ,6082700,WBDI
KHM,15762370,WBDI
KIR,114395,WBDI
KNA,54821,WBDI
KOR,51245707,WBDI
KWT,4052584,WBDI
LAC,610136397,WBDI
LAO,6758353,WBDI
LBN,6006668,WBDI
LBR,4613823,WBDI
LBY,6293253,WBDI
LCA,178015,WBDI
LCN,637664490,WBDI
LDC,979387925,WBDI
LIC,659272676,WBDI
LIE,37666,WBDI
LKA,21203000,WBDI
LMC,3012923806,WBDI
LMY,6252106157,WBDI
LSO,2203821,WBDI
LTE,2262709895,WBDI
LTU,2872298,WBDI
LUX,582972,WBDI
LVA,1960424,WBDI
MAC,612167,WBDI
MAF,31949,WBDI
MAR,35276786,WBDI
MCO,38499,WBDI
MDA,3552000,WBDI
MDG,24894551,WBDI
MDV,417492,WBDI
MEA,436720722,WBDI
MEX,127540423,WBDI
MHL,53066,WBDI
MIC,5592833481,WBDI
MKD,2081206,WBDI
MLI,17994837,WBDI
MLT,436947,WBDI
MMR,52885223,WBDI
MNA,373719055,WBDI
MNE,622781,WBDI
MNG,3027398,WBDI
MNP,55023,WBDI
MOZ,28829476,WBDI
MRT,4301018,WBDI
MUS,1263473,WBDI
MWI,18091575,WBDI
MYS,31187265,WBDI
NAC,359479269,WBDI
NAM,2479713,WBDI
NCL,278000,WBDI
NER,20672987,WBDI
NGA,185989640,WBDI
NIC,6149928,WBDI
NLD,17018408,WBDI
NOR,5232929,WBDI
NPL,28982771,WBDI
NRU,13049,WBDI
NZL,4692700,WBDI
OED,1289937319,WBDI
OMN,4424762,WBDI
OSS,29983809,WBDI
PAK,193203476,WBDI
PAN,4034119,WBDI
PER,31773839,WBDI
PHL,103320222,WBDI
PLW,21503,WBDI
PNG,8084991,WBDI
POL,37948016,WBDI
PRE,879292453,WBDI
PRI,3411307,WBDI
PRK,25368620,WBDI
PRT,10324611,WBDI
PRY,6725308,WBDI
PSE,4551566,WBDI
PSS,2388875,WBDI
PST,1102730983,WBDI
PYF,280208,WBDI
QAT,2569804,WBDI
ROU,19705301,WBDI
RUS,144342396,WBDI
RWA,11917508,WBDI
SAS,1766383450,WBDI
SAU,32275687,WBDI
SDN,39578828,WBDI
SEN,15411614,WBDI
SGP,5607283,WBDI
SLB,599419,WBDI
SLE,7396190,WBDI
SLV,6344722,WBDI
SMR,33203,WBDI
SOM,14317996,WBDI
SRB,7057412,WBDI
SSA,1033011458,WBDI
SSD,12230730,WBDI
SSF,1033106135,WBDI
SST,39618156,WBDI
STP,199910,WBDI
SUR,558368,WBDI
SVK,5428704,WBDI
SVN,2064845,WBDI
SWE,9903122,WBDI
SWZ,1343098,WBDI
SXM,40005,WBDI
SYC,94677,WBDI
SYR,18430453,WBDI
TCA,34900,WBDI
TCD,14452543,WBDI
TEA,2026028438,WBDI
TEC,455372659,WBDI
TGO,7606374,WBDI
THA,68863514,WBDI
TJK,8734951,WBDI
TKM,5662544,WBDI
TLA,621534921,WBDI
TLS,1268671,WBDI
TMN,369167489,WBDI
TON,107122,WBDI
TSA,1766383450,WBDI
TSS,1033106135,WBDI
TTO,1364962,WBDI
TUN,11403248,WBDI
TUR,79512426,WBDI
TUV,11097,WBDI
TWN,23562318,Wikipedia
TZA,55572201,WBDI
UGA,41487965,WBDI
UKR,45004645,WBDI
UMC,2579909675,WBDI
URY,3444006,WBDI
USA,323127513,WBDI
UZB,31848200,WBDI
VCT,109643,WBDI
VEN,31568179,WBDI
VGB,30661,WBDI
VIR,102951,WBDI
VNM,92701100,WBDI
VUT,270402,WBDI
WLD,7442135578,WBDI
WSM,195125,WBDI
XKX,1816200,WBDI
YEM,27584213,WBDI
ZAF,55908865,WBDI
ZMB,16591390,WBDI
ZWE,16150362,WBDI
